,folder_name,area_name,year,xmin,ymin,zmin,xmax,ymax,zmax,points
0,AK_BrooksCamp_2012/,AK_BrooksCamp,2012,-17347360,8065364,-12414,-17321558,8091166,13388,529285317
1,AK_Coastal_2009/,AK_Coastal,2009,-15730544,10937407,-19027,-15691854,10976097,19663,55711772
2,AK_DeltaJunction_1_2021/,AK_DeltaJunction_1,2021,-16360095,9205564,-146339,-16067911,9497748,145845,19036249620
3,AK_Fairbanks-NSBorough_2010/,AK_Fairbanks-NSBorough,2010,-16471700,9519129,-45314,-16381190,9609639,45196,1266097458
4,AK_GlacierBay_4_2019/,AK_GlacierBay_4,2019,-15402369,7986381,-160091,-15085247,8303503,157031,23016813926
5,AK_GlacierBay_B3_2019/,AK_GlacierBay_B3,2019,-15336540,7982973,-115391,-15104422,8215091,116727,10887933191
6,AK_Juneau_2012/,AK_Juneau,2012,-15014449,8012267,-35030,-14943073,8083643,36346,2211557952
7,AK_Kenai_2008/,AK_Kenai,2008,-16906356,8303726,-166851,-16570284,8639798,169221,14054081685
8,AK_MatanuskaSusitna-Lot1_2011/,AK_MatanuskaSusitna-Lot1,2011,-16782341,8663224,-51435,-16678201,8767364,52705,4988109681
9,AK_MatanuskaSusitna-Lot2_2011/,AK_MatanuskaSusitna-Lot2,2011,-16768328,8706126,-188389,-16390088,9084366,189851,41053208083
10,AK_NomeCreek_2010/,AK_NomeCreek,2010,-16391082,9681153,-20529,-16348578,9723657,21975,94592518
11,AK_NorthSlope_B10_2018/,AK_NorthSlope_B10,2018,-18152228,10978280,-6467,-18139030,10991478,6731,148956845
12,AK_NorthSlope_B11_2018/,AK_NorthSlope_B11,2018,-18571233,10544583,-6584,-18557621,10558195,7028,122307792
13,AK_NorthSlope_B12_2018/,AK_NorthSlope_B12,2018,-16905696,10474287,-15444,-16872158,10507825,18094,1334154425
14,AK_NorthSlope_B13_2018/,AK_NorthSlope_B13,2018,-18156267,10971456,-13104,-18129745,10997978,13418,257243550
15,AK_NorthSlope_B14_2018/,AK_NorthSlope_B14,2018,-18572778,10488876,-48102,-18475800,10585854,48876,873026233
16,AK_NorthSlope_B1_2018/,AK_NorthSlope_B1,2018,-15990539,11105651,-3519,-15983447,11112743,3573,65787971
17,AK_NorthSlope_B2_2018/,AK_NorthSlope_B2,2018,-16816671,11131304,-6851,-16801711,11146264,8109,298602840
18,AK_NorthSlope_B3_2018/,AK_NorthSlope_B3,2018,-17624395,11221392,-157520,-17308565,11537222,158310,1425929011
19,AK_NorthSlope_B4_2018/,AK_NorthSlope_B4,2018,-17818846,11272822,-6296,-17806160,11285508,6390,245802864
20,AK_NorthSlope_B5_2018/,AK_NorthSlope_B5,2018,-16002250,11095749,-8147,-15985036,11112963,9067,105090115
21,AK_NorthSlope_B6_2018/,AK_NorthSlope_B6,2018,-16819308,10987385,-156717,-16504630,11302063,157961,1130865095
22,AK_NorthSlope_B7_2018/,AK_NorthSlope_B7,2018,-17615692,11209724,-149488,-17315734,11509682,150470,1936889647
23,AK_NorthSlope_B8_2018/,AK_NorthSlope_B8,2018,-17834433,11247373,-25662,-17782965,11298841,25806,767769101
24,AK_NorthSlope_B9_2018/,AK_NorthSlope_B9,2018,-16896611,10483668,-4530,-16885307,10494972,6774,338421753
25,AK_ValdezB_2007/,AK_ValdezB,2007,-16324046,8607668,-39681,-16242942,8688772,41423,1068352809
